Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
VVFS:LI01:1,Linac,STATUS,LI01,39.37,39,L2KA01-0114,16,L2KG01-1925,19,WD37640401C0
VVFS:LI01:2,Linac,STATUS,LI01,242.78,243,L2KA01-0114,16,L2KG01-1925,20,WD37640401C0
VVFS:LI02:1,Linac,STATUS,LI02,0,100,L2KA02-0434,43,L2KG02-2215,22,WD37640409C0
VVFS:LI02:2,Linac,STATUS,LI02,0,900,L2KA02-0434,43,L2KG02-2215,23,WD37640409C0
VVFS:LI04:1,Linac,STATUS,LI04,0,100,L2KA04-0517,61,L2KG04-1923,2,WD37605000C0
VVFS:LI04:2,Linac,STATUS,LI04,0,900,L2KA04-0517,61,L2KG04-1923,3,WD37605000C0
VVFS:LI07:1,Linac,STATUS,LI07,2019,100,L2KA07-0113,92,L2KG07-3737,12,WD37641109C0
VVFS:BSYH:1,HXU,STATUS,BSYH,10001.336,100,B136-0106,205,B136-0628,0,WD37641802C0
VVFS:BSYS:1,SXU,STATUS,BSYS,10001.336,100,B136-0206,200,B136-0528,0,WD37641802C0
VVFS:DUMP:1,Linac,STATUS,DMP1,10001.336,100,B136-0306,188,L2KG30-7D13,4,WD37641802C0
VVFS:DMPS:1,SXU,STATUS,DMPS,12203,100,B921-7411,303,B921-1433,0,WD37642002C0
VVFS:DMPH:1,HXU,STATUS,DMPH,0,100,B921-6409,313,B921-1527,0,WD37642002C0
